decimalLatitude,decimalLongitude,species,kingdom
47.15335,7.27381,Hedera helix,Plantae
47.15335,7.27381,Hypericum montanum,Plantae
47.15335,7.27381,Sherardia arvensis,Plantae
47.15335,7.27381,Tilia platyphyllos,Plantae
47.15335,7.27381,Arenaria serpyllifolia,Plantae
47.15335,7.27381,Orchis mascula,Plantae
47.15335,7.27381,Himantoglossum hircinum,Plantae
47.15335,7.27381,Ophrys holosericea,Plantae
47.15335,7.27381,Gymnadenia conopsea,Plantae
47.15335,7.27381,Centranthus ruber,Plantae
47.15335,7.27381,Isatis tinctoria,Plantae
47.15335,7.27381,Picea abies,Plantae
47.15335,7.27381,Viburnum lantana,Plantae
47.15335,7.27381,Euonymus europaeus,Plantae
47.15335,7.27381,Noccaea perfoliata,Plantae
47.10838,7.27395,Frangula alnus,Plantae
47.15335,7.27381,Tragopogon dubius,Plantae
47.15335,7.27381,Globularia bisnagarica,Plantae
47.10838,7.27395,Salvia pratensis,Plantae
47.15335,7.27381,Lepidium virginicum,Plantae
47.15335,7.27381,Fagus sylvatica,Plantae
47.10838,7.27395,Crepis biennis,Plantae
47.10838,7.27395,Phragmites australis,Plantae
47.10838,7.27395,Stachys palustris,Plantae
47.10838,7.27395,Onobrychis viciifolia,Plantae
47.10838,7.27395,Prunella vulgaris,Plantae
47.10838,7.27395,Rorippa palustris,Plantae
47.10838,7.27395,Phragmites australis,Plantae
47.10838,7.27395,Knautia arvensis,Plantae
47.15335,7.27381,Arrhenatherum elatius,Plantae
47.10838,7.27395,Trifolium repens,Plantae
47.10838,7.27395,Sonchus asper,Plantae
47.10838,7.27395,Lolium pratense,Plantae
47.10838,7.27395,Rumex obtusifolius,Plantae
47.13971,7.28907,Rubus armeniacus,Plantae
47.15335,7.27381,Genista sagittalis,Plantae
47.15335,7.27381,Mycelis muralis,Plantae
47.15335,7.27381,Carex leersii,Plantae
47.15335,7.27381,Crataegus laevigata,Plantae
47.15335,7.27381,Cornus sanguinea,Plantae
47.15335,7.27381,Tragopogon dubius,Plantae
47.10838,7.27395,Trifolium repens,Plantae
47.10838,7.27395,Iris pseudacorus,Plantae
47.10838,7.27395,Trisetum flavescens,Plantae
47.10838,7.27395,Calystegia sepium,Plantae
47.10838,7.27395,Lathyrus pratensis,Plantae
47.15335,7.27381,Centaurea jacea,Plantae
47.10838,7.27395,Trifolium repens,Plantae
47.10838,7.27395,Verbascum nigrum,Plantae
47.10838,7.27395,Cynosurus cristatus,Plantae
47.10838,7.27395,Vicia cracca,Plantae
47.10838,7.27395,Mentha longifolia,Plantae
47.10838,7.27395,Lolium perenne,Plantae
47.14082,7.28063,Rubus armeniacus,Plantae
47.15335,7.27381,Geranium rotundifolium,Plantae
47.15335,7.27381,Euphorbia cyparissias,Plantae
47.10838,7.27395,Dryopteris pseudodisjuncta,Plantae
47.10838,7.27395,Clematis vitalba,Plantae
47.15335,7.27381,Circaea lutetiana,Plantae
47.15335,7.27381,Picea abies,Plantae
47.15335,7.27381,Melica uniflora,Plantae
47.15335,7.27381,Hedera helix,Plantae
47.15335,7.27381,Globularia bisnagarica,Plantae
47.15335,7.27381,Chaerophyllum hirsutum,Plantae
47.15335,7.27381,Lunaria rediviva,Plantae
47.15335,7.27381,Alliaria petiolata,Plantae
47.15335,7.27381,Cornus sanguinea,Plantae
47.15335,7.27381,Arabidopsis thaliana,Plantae
47.10838,7.27395,Sherardia arvensis,Plantae
47.15335,7.27381,Sambucus nigra,Plantae
47.15335,7.27381,Corylus avellana,Plantae
47.15335,7.27381,Polygonatum odoratum,Plantae
47.15335,7.27381,Geranium rotundifolium,Plantae
47.10838,7.27395,Crepis vesicaria,Plantae
47.15335,7.27381,Tilia platyphyllos,Plantae
47.10838,7.27395,Prunus padus,Plantae
47.10838,7.27395,Cornus sanguinea,Plantae
47.15335,7.27381,Poterium sanguisorba,Plantae
47.15335,7.27381,Viola hirta,Plantae
47.10838,7.27395,Stachys sylvatica,Plantae
47.15335,7.27381,Hedera helix,Plantae
47.15335,7.27381,Chaenorhinum minus,Plantae
47.15335,7.27381,Dactylis glomerata,Plantae
47.10838,7.27395,Verbena officinalis,Plantae
47.10838,7.27395,Dryopteris borreri,Plantae
47.15335,7.27381,Stachys recta,Plantae
47.10838,7.27395,Avenula pubescens,Plantae
47.15335,7.27381,Diplotaxis tenuifolia,Plantae
47.15335,7.27381,Acer platanoides,Plantae
47.15335,7.27381,Hedera helix,Plantae
47.10838,7.27395,Alopecurus pratensis,Plantae
47.10838,7.27395,Filipendula ulmaria,Plantae
47.10838,7.27395,Trifolium pratense,Plantae
47.10838,7.27395,Rubus caesius,Plantae
47.15335,7.27381,Neottia nidus-avis,Plantae
47.15335,7.27381,Cystopteris fragilis,Plantae
47.15335,7.27381,Matricaria chamomilla,Plantae
47.15335,7.27381,Acer pseudoplatanus,Plantae
47.15335,7.27381,Sedum sexangulare,Plantae
47.15335,7.27381,Plantago lanceolata,Plantae
47.15335,7.27381,Sonchus oleraceus,Plantae
47.15335,7.27381,Bromus sterilis,Plantae
47.15335,7.27381,Viburnum lantana,Plantae
47.15335,7.27381,Plantago media,Plantae
47.15335,7.27381,Himantoglossum hircinum,Plantae
47.15335,7.27381,Cardamine flexuosa,Plantae
47.15335,7.27381,Anemone nemorosa,Plantae
47.15335,7.27381,Rosa arvensis,Plantae
47.15335,7.27381,Saxifraga tridactylites,Plantae
47.15335,7.27381,Galium aparine,Plantae
47.15335,7.27381,Mycelis muralis,Plantae
47.15335,7.27381,Tilia platyphyllos,Plantae
47.15335,7.27381,Agrostis stolonifera,Plantae
47.15335,7.27381,Veronica teucrium,Plantae
47.15335,7.27381,Acer opalus,Plantae
47.15335,7.27381,Phyteuma spicatum,Plantae
47.15335,7.27381,Dryopteris filix-mas,Plantae
47.15335,7.27381,Arenaria serpyllifolia,Plantae
47.15335,7.27381,Viola reichenbachiana,Plantae
47.15335,7.27381,Hippocrepis emerus,Plantae
47.15335,7.27381,Polygala comosa,Plantae
47.15335,7.27381,Lathyrus vernus,Plantae
47.15335,7.27381,Globularia bisnagarica,Plantae
47.15335,7.27381,Rhinanthus alectorolophus,Plantae
47.15335,7.27381,Glechoma hederacea,Plantae
47.15335,7.27381,Euonymus europaeus,Plantae
47.15335,7.27381,Cephalanthera damasonium,Plantae
47.15335,7.27381,Juniperus communis,Plantae
47.15335,7.27381,Betonica officinalis,Plantae
47.10838,7.27395,Daucus carota,Plantae
47.15335,7.27381,Crepis capillaris,Plantae
47.15335,7.27381,Primula veris,Plantae
47.15335,7.27381,Noccaea perfoliata,Plantae
47.15335,7.27381,Asplenium csikii,Plantae
47.15335,7.27381,Acer campestre,Plantae
47.15335,7.27381,Allium sphaerocephalon,Plantae
47.15335,7.27381,Cerastium holosteoides,Plantae
47.15335,7.27381,Salix cinerea,Plantae
47.15335,7.27381,Melittis melissophyllum,Plantae
47.15335,7.27381,Sedum sexangulare,Plantae
47.15335,7.27381,Crataegus monogyna,Plantae
47.15335,7.27381,Geranium pyrenaicum,Plantae
47.15335,7.27381,Salvia pratensis,Plantae
47.15335,7.27381,Chelidonium majus,Plantae
47.15335,7.27381,Dryopteris filix-mas,Plantae
47.15335,7.27381,Melica nutans,Plantae
47.15335,7.27381,Cephalanthera longifolia,Plantae
47.15335,7.27381,Crataegus monogyna,Plantae
47.15335,7.27381,Crataegus monogyna,Plantae
47.15335,7.27381,Carpinus betulus,Plantae
47.10838,7.27395,Equisetum arvense,Plantae
47.10838,7.27395,Dryopteris cambrensis,Plantae
47.15335,7.27381,Neottia nidus-avis,Plantae
47.15335,7.27381,Avenula pubescens,Plantae
47.15335,7.27381,Lonicera xylosteum,Plantae
47.15335,7.27381,Acer opalus,Plantae
47.15335,7.27381,Carpinus betulus,Plantae
47.15335,7.27381,Thymus pulegioides,Plantae
47.15335,7.27381,Carpinus betulus,Plantae
47.15335,7.27381,Chaerophyllum temulum,Plantae
47.15335,7.27381,Euphorbia dulcis,Plantae
47.15335,7.27381,Campanula trachelium,Plantae
47.15335,7.27381,Prunella grandiflora,Plantae
47.10838,7.27395,Carex sylvatica,Plantae
47.10838,7.27395,Chelidonium majus,Plantae
47.15335,7.27381,Rhinanthus alectorolophus,Plantae
47.15335,7.27381,Galium verum,Plantae
47.10838,7.27395,Dryopteris filix-mas,Plantae
47.10838,7.27395,Dryopteris dilatata,Plantae
47.14313,7.24808,Ailanthus altissima,Plantae
47.15335,7.27381,Oxalis corniculata,Plantae
47.10838,7.27395,Hypochaeris radicata,Plantae
47.15335,7.27381,Trifolium pratense,Plantae
47.10838,7.27395,Holcus lanatus,Plantae
47.10838,7.27395,Arrhenatherum elatius,Plantae
47.10838,7.27395,Poterium sanguisorba,Plantae
47.14126,7.28939,Rubus armeniacus,Plantae
47.15335,7.27381,Globularia bisnagarica,Plantae
47.15335,7.27381,Ranunculus bulbosus,Plantae
47.15335,7.27381,Sedum sexangulare,Plantae
47.15335,7.27381,Rumex obtusifolius,Plantae
47.15335,7.27381,Crataegus monogyna,Plantae
47.15335,7.27381,Luzula campestris,Plantae
47.10838,7.27395,Trisetum flavescens,Plantae
47.10838,7.27395,Poa trivialis,Plantae
47.15335,7.27381,Viola reichenbachiana,Plantae
47.10838,7.27395,Anthoxanthum odoratum,Plantae
47.10838,7.27395,Oenothera biennis,Plantae
47.10838,7.27395,Scabiosa columbaria,Plantae
47.15335,7.27381,Salvia pratensis,Plantae
47.15335,7.27381,Anacamptis morio,Plantae
47.15335,7.27381,Vinca minor,Plantae
47.15335,7.27381,Aria edulis,Plantae
47.15335,7.27381,Primula vulgaris,Plantae
47.10838,7.27395,Galeopsis angustifolia,Plantae
47.15335,7.27381,Cephalanthera damasonium,Plantae
47.15335,7.27381,Himantoglossum hircinum,Plantae
47.15335,7.27381,Acer pseudoplatanus,Plantae
47.15335,7.27381,Cardamine heptaphylla,Plantae
47.15335,7.27381,Fraxinus excelsior,Plantae
47.15335,7.27381,Trisetum flavescens,Plantae
47.10838,7.27395,Carex remota,Plantae
47.10838,7.27395,Gymnocarpium dryopteris,Plantae
47.15335,7.27381,Clematis vitalba,Plantae
47.15335,7.27381,Viburnum lantana,Plantae
47.15335,7.27381,Reseda lutea,Plantae
47.15335,7.27381,Ligustrum vulgare,Plantae
47.15335,7.27381,Bromus erectus,Plantae
47.10838,7.27395,Impatiens parviflora,Plantae
47.10838,7.27395,Equisetum arvense,Plantae
47.15335,7.27381,Himantoglossum hircinum,Plantae
47.15335,7.27381,Torminalis glaberrima,Plantae
47.15335,7.27381,Anchusa officinalis,Plantae
47.10838,7.27395,Cephalanthera damasonium,Plantae
47.15335,7.27381,Ophrys holosericea,Plantae
47.15335,7.27381,Orchis mascula,Plantae
47.15335,7.27381,Chelidonium majus,Plantae
47.15335,7.27381,Viola arvensis,Plantae
47.15335,7.27381,Epipactis purpurata,Plantae
47.15335,7.27381,Himantoglossum hircinum,Plantae
47.15335,7.27381,Euphorbia cyparissias,Plantae
47.15335,7.27381,Fragaria viridis,Plantae
47.15335,7.27381,Hedera helix,Plantae
47.15335,7.27381,Malus sylvestris,Plantae
47.15335,7.27381,Ophrys holosericea,Plantae
47.15335,7.27381,Poa nemoralis,Plantae
47.15335,7.27381,Salvia pratensis,Plantae
47.15335,7.27381,Polygala comosa,Plantae
47.15335,7.27381,Lamium galeobdolon,Plantae
47.15335,7.27381,Vicia sepium,Plantae
47.15335,7.27381,Carex halleriana,Plantae
47.15335,7.27381,Acer platanoides,Plantae
47.15335,7.27381,Melittis melissophyllum,Plantae
47.15335,7.27381,Dianthus gratianopolitanus,Plantae
47.15335,7.27381,Saxifraga tridactylites,Plantae
47.15335,7.27381,Lamium purpureum,Plantae
47.15335,7.27381,Pilosella officinarum,Plantae
47.15335,7.27381,Euphorbia lathyris,Plantae
47.15335,7.27381,Hesperis matronalis,Plantae
47.15335,7.27381,Acer opalus,Plantae
47.10838,7.27395,Oxalis corniculata,Plantae
47.10838,7.27395,Athyrium filix-femina,Plantae
47.15335,7.27381,Asplenium quadrivalens,Plantae
47.15335,7.27381,Cephalanthera longifolia,Plantae
47.10838,7.27395,Dactylorhiza maculata,Plantae
47.15335,7.27381,Aruncus dioicus,Plantae
47.15335,7.27381,Acer pseudoplatanus,Plantae
47.15335,7.27381,Sedum album,Plantae
47.15335,7.27381,Asarum europaeum,Plantae
47.15335,7.27381,Arctium lappa,Plantae
47.15335,7.27381,Epipactis purpurata,Plantae
47.15335,7.27381,Himantoglossum hircinum,Plantae
47.15335,7.27381,Prenanthes purpurea,Plantae
47.15335,7.27381,Aria edulis,Plantae
47.10838,7.27395,Picris hieracioides,Plantae
47.10838,7.27395,Salix viminalis,Plantae
47.10838,7.27395,Rubus caesius,Plantae
47.10838,7.27395,Salix alba,Plantae
47.10838,7.27395,Bromus erectus,Plantae
47.15335,7.27381,Trisetum flavescens,Plantae
47.15335,7.27381,Platanthera chlorantha,Plantae
47.15335,7.27381,Anacamptis morio,Plantae
47.15335,7.27381,Centranthus ruber,Plantae
47.15335,7.27381,Platanthera chlorantha,Plantae
47.15335,7.27381,Acer campestre,Plantae
47.15335,7.27381,Cephalanthera damasonium,Plantae
47.15335,7.27381,Acer platanoides,Plantae
47.15335,7.27381,Crataegus monogyna,Plantae
47.10838,7.27395,Holcus lanatus,Plantae
47.15335,7.27381,Rosa arvensis,Plantae
47.10838,7.27395,Symphytum officinale,Plantae
47.10838,7.27395,Tussilago farfara,Plantae
47.15335,7.27381,Fagus sylvatica,Plantae
47.15335,7.27381,Sesleria caerulea,Plantae
47.10838,7.27395,Bellis perennis,Plantae
47.10838,7.27395,Veronica beccabunga,Plantae
47.10838,7.27395,Salix caprea,Plantae
47.10838,7.27395,Cirsium arvense,Plantae
47.15335,7.27381,Ophrys holosericea,Plantae
47.15335,7.27381,Asplenium ruta-muraria,Plantae
47.15335,7.27381,Euphorbia cyparissias,Plantae
47.10838,7.27395,Eupatorium cannabinum,Plantae
47.10838,7.27395,Crepis biennis,Plantae
47.10838,7.27395,Ulmus minor,Plantae
47.10838,7.27395,Medicago sativa,Plantae
47.10838,7.27395,Lolium pratense,Plantae
47.15335,7.27381,Dactylis glomerata,Plantae
47.15335,7.27381,Acer opalus,Plantae
47.15335,7.27381,Sedum album,Plantae
47.15335,7.27381,Lysimachia punctata,Plantae
47.10838,7.27395,Origanum majorana,Plantae
47.10838,7.27395,Calystegia sepium,Plantae
47.10838,7.27395,Galium mollugo,Plantae
47.15335,7.27381,Mercurialis perennis,Plantae
47.10838,7.27395,Bromus hordeaceus,Plantae
47.10838,7.27395,Centaurea jacea,Plantae
47.10838,7.27395,Rumex obtusifolius,Plantae
47.15335,7.27381,Neottia nidus-avis,Plantae
47.15335,7.27381,Ophrys holosericea,Plantae
47.15335,7.27381,Neottia nidus-avis,Plantae
47.15335,7.27381,Saponaria ocymoides,Plantae
47.15335,7.27381,Myosotis arvensis,Plantae
47.15335,7.27381,Cephalanthera damasonium,Plantae
47.15335,7.27381,Arabis alpina,Plantae
47.15335,7.27381,Argentina anserina,Plantae
47.15335,7.27381,Rubus idaeus,Plantae
47.15335,7.27381,Asplenium ceterach,Plantae
47.15335,7.27381,Veronica chamaedrys,Plantae
47.15335,7.27381,Euphorbia amygdaloides,Plantae
47.15335,7.27381,Rosa arvensis,Plantae
47.15335,7.27381,Ophrys holosericea,Plantae
47.15335,7.27381,Acer platanoides,Plantae
47.10838,7.27395,Lactuca serriola,Plantae
47.15335,7.27381,Oxalis corniculata,Plantae
47.15335,7.27381,Capsella bursa-pastoris,Plantae
47.15335,7.27381,Campanula rapunculoides,Plantae
47.15335,7.27381,Achillea millefolium,Plantae
47.15335,7.27381,Poa trivialis,Plantae
47.10838,7.27395,Potentilla indica,Plantae
47.15335,7.27381,Mercurialis perennis,Plantae
47.10838,7.27395,Dryopteris borreri,Plantae
47.14254,7.24793,Ailanthus altissima,Plantae
47.15335,7.27381,Paris quadrifolia,Plantae
47.15335,7.27381,Primula veris,Plantae
47.10838,7.27395,Lathyrus pratensis,Plantae
47.15335,7.27381,Acer campestre,Plantae
47.10838,7.27395,Atropa belladonna,Plantae
47.15335,7.27381,Lepidium virginicum,Plantae
47.15335,7.27381,Echium vulgare,Plantae
47.10838,7.27395,Rubus caesius,Plantae
47.10838,7.27395,Populus nigra,Plantae
47.10838,7.27395,Trisetum flavescens,Plantae
47.15335,7.27381,Torminalis glaberrima,Plantae
47.10838,7.27395,Pilosella officinarum,Plantae
47.10838,7.27395,Bromus hordeaceus,Plantae
47.10838,7.27395,Sonchus asper,Plantae
47.10838,7.27395,Lotus corniculatus,Plantae
47.10838,7.27395,Iris pseudacorus,Plantae
47.15335,7.27381,Arabis hirsuta,Plantae
47.15335,7.27381,Neottia nidus-avis,Plantae
47.15335,7.27381,Trifolium pratense,Plantae
47.15335,7.27381,Cornus sanguinea,Plantae
47.15335,7.27381,Arenaria serpyllifolia,Plantae
47.15335,7.27381,Ranunculus aconitifolius,Plantae
47.15335,7.27381,Ligustrum vulgare,Plantae
47.15335,7.27381,Noccaea perfoliata,Plantae
47.15335,7.27381,Fagus sylvatica,Plantae
47.15335,7.27381,Fraxinus excelsior,Plantae
47.15335,7.27381,Viola arvensis,Plantae
47.15335,7.27381,Pseudoturritis turrita,Plantae
47.15335,7.27381,Myosotis arvensis,Plantae
47.15335,7.27381,Sabulina tenuifolia,Plantae
47.15335,7.27381,Lunaria rediviva,Plantae
47.15335,7.27381,Ulmus glabra,Plantae
47.15335,7.27381,Mercurialis perennis,Plantae
47.15335,7.27381,Hyacinthoides hispanica,Plantae
47.15335,7.27381,Corylus avellana,Plantae
47.15335,7.27381,Aesculus hippocastanum,Plantae
47.15335,7.27381,Viola reichenbachiana,Plantae
47.15335,7.27381,Ophrys apifera,Plantae
47.15335,7.27381,Tilia platyphyllos,Plantae
47.15335,7.27381,Acer platanoides,Plantae
47.10838,7.27395,Equisetum telmateia,Plantae
47.15335,7.27381,Phyteuma spicatum,Plantae
47.15335,7.27381,Acer pseudoplatanus,Plantae
47.10838,7.27395,Circaea lutetiana,Plantae
47.15335,7.27381,Anemone nemorosa,Plantae
47.10838,7.27395,Cynosurus cristatus,Plantae
47.10838,7.27395,Geranium dissectum,Plantae
47.10838,7.27395,Trifolium pratense,Plantae
47.10838,7.27395,Anthoxanthum odoratum,Plantae
47.15335,7.27381,Briza media,Plantae
47.15335,7.27381,Aria edulis,Plantae
47.15335,7.27381,Asplenium jessenii,Plantae
47.15335,7.27381,Fagus sylvatica,Plantae
47.15335,7.27381,Sedum sexangulare,Plantae
47.15335,7.27381,Crataegus monogyna,Plantae
47.15335,7.27381,Asplenium ruta-muraria,Plantae
47.15335,7.27381,Taxus baccata,Plantae
47.15335,7.27381,Saponaria ocymoides,Plantae
47.15335,7.27381,Arctium lappa,Plantae
47.15335,7.27381,Carex pairae,Plantae
47.15335,7.27381,Trifolium repens,Plantae
47.15335,7.27381,Linaria dalmatica,Plantae
47.15335,7.27381,Salvia pratensis,Plantae
47.15335,7.27381,Ligustrum vulgare,Plantae
47.15335,7.27381,Asplenium csikii,Plantae
47.15335,7.27381,Isatis tinctoria,Plantae
47.15335,7.27381,Lunaria rediviva,Plantae
47.15335,7.27381,Hippocrepis comosa,Plantae
47.15335,7.27381,Polystichum aculeatum,Plantae
47.15335,7.27381,Viburnum lantana,Plantae
47.15335,7.27381,Carpinus betulus,Plantae
47.15335,7.27381,Salix triandra,Plantae
47.15335,7.27381,Aesculus hippocastanum,Plantae
47.15335,7.27381,Quercus petraea,Plantae
47.10838,7.27395,Scabiosa columbaria,Plantae
47.15335,7.27381,Lolium pratense,Plantae
47.10838,7.27395,Lolium perenne,Plantae
47.10838,7.27395,Plantago lanceolata,Plantae
47.10838,7.27395,Potentilla recta,Plantae
47.13959,7.2896,Buddleja davidii,Plantae
47.15335,7.27381,Geranium columbinum,Plantae
47.15335,7.27381,Cystopteris fragilis,Plantae
47.15335,7.27381,Viola reichenbachiana,Plantae
47.15335,7.27381,Aria edulis,Plantae
47.15335,7.27381,Poterium sanguisorba,Plantae
47.15335,7.27381,Sedum album,Plantae
47.15335,7.27381,Prenanthes purpurea,Plantae
47.15335,7.27381,Cornus sanguinea,Plantae
47.15335,7.27381,Ribes alpinum,Plantae
47.15335,7.27381,Moehringia muscosa,Plantae
47.15335,7.27381,Polygonatum odoratum,Plantae
47.15335,7.27381,Verbascum lychnitis,Plantae
47.15335,7.27381,Chelidonium majus,Plantae
47.15335,7.27381,Crataegus monogyna,Plantae
47.15335,7.27381,Potentilla reptans,Plantae
47.15335,7.27381,Torminalis glaberrima,Plantae
47.10838,7.27395,Lamium purpureum,Plantae
47.10838,7.27395,Cardamine hirsuta,Plantae
47.10838,7.27395,Veronica persica,Plantae
47.10838,7.27395,Pulmonaria obscura,Plantae
47.10838,7.27395,Geranium rotundifolium,Plantae
47.15335,7.27381,Helleborus foetidus,Plantae
47.10838,7.27395,Cota tinctoria,Plantae
47.15335,7.27381,Chaerophyllum temulum,Plantae
47.15335,7.27381,Crataegus laevigata,Plantae
47.15335,7.27381,Cornus sanguinea,Plantae
47.15335,7.27381,Lathyrus vernus,Plantae
47.15335,7.27381,Arrhenatherum elatius,Plantae
47.15335,7.27381,Hedera helix,Plantae
47.15335,7.27381,Bryonia dioica,Plantae
47.15335,7.27381,Hedera helix,Plantae
47.15335,7.27381,Abies alba,Plantae
47.15335,7.27381,Euphorbia cyparissias,Plantae
47.15335,7.27381,Aria edulis,Plantae
47.15335,7.27381,Silene dioica,Plantae
47.15335,7.27381,Trifolium incarnatum,Plantae
47.15335,7.27381,Polystichum aculeatum,Plantae
47.15335,7.27381,Phalaris arundinacea,Plantae
47.15335,7.27381,Prunella grandiflora,Plantae
47.15335,7.27381,Euphorbia cyparissias,Plantae
47.15335,7.27381,Tilia platyphyllos,Plantae
47.15335,7.27381,Veronica chamaedrys,Plantae
47.15335,7.27381,Acer platanoides,Plantae
47.15335,7.27381,Urtica dioica,Plantae
47.10838,7.27395,Arrhenatherum elatius,Plantae
47.15335,7.27381,Prunus spinosa,Plantae
47.15335,7.27381,Papaver cambricum,Plantae
47.15335,7.27381,Hepatica nobilis,Plantae
47.15335,7.27381,Circaea lutetiana,Plantae
47.15335,7.27381,Atropa belladonna,Plantae
47.14042,7.24739,Erigeron annuus,Plantae
47.10838,7.27395,Galium verum,Plantae
47.10838,7.27395,Potentilla sterilis,Plantae
47.15335,7.27381,Acer campestre,Plantae
47.15335,7.27381,Poterium sanguisorba,Plantae
47.10838,7.27395,Betonica officinalis,Plantae
47.10838,7.27395,Agrostis stolonifera,Plantae
47.10838,7.27395,Poa pratensis,Plantae
47.10838,7.27395,Holcus lanatus,Plantae
47.15335,7.27381,Cephalanthera rubra,Plantae
47.15335,7.27381,Bromus erectus,Plantae
47.15335,7.27381,Viburnum lantana,Plantae
47.15335,7.27381,Carex flacca,Plantae
47.15335,7.27381,Tilia platyphyllos,Plantae
47.15335,7.27381,Acer campestre,Plantae
47.15335,7.27381,Torminalis glaberrima,Plantae
47.15335,7.27381,Acer campestre,Plantae
47.15335,7.27381,Mercurialis perennis,Plantae
47.15335,7.27381,Helianthemum nummularium,Plantae
47.15335,7.27381,Neottia nidus-avis,Plantae
47.15335,7.27381,Acer campestre,Plantae
47.15335,7.27381,Juniperus communis,Plantae
47.15335,7.27381,Sedum album,Plantae
47.15335,7.27381,Cota tinctoria,Plantae
